@relation cancer
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute classes {0,1,}
@data
17.0,12.0,3.0,1
15.0,5.0,2.0,1
7.0,11.0,1.0,1
28.0,16.0,4.0,1
35.0,31.0,27.0,1
27.0,17.0,6.0,1
75.0,110.0,66.0,1
34.0,7.0,18.0,1
9.0,9.0,1.0,1
15.0,21.0,19.0,1
44.0,72.0,40.0,1
43.0,34.0,7.0,1
6.0,17.0,9.0,1
57.0,198.0,132.0,1
56.0,45.0,33.0,1
20.0,9.0,11.0,1
34.0,4.0,11.0,1
23.0,27.0,17.0,1
9.0,2.0,5.0,1
32.0,33.0,8.0,1
18.0,34.0,15.0,1
23.0,1.0,1.0,1
15.0,33.0,7.0,1
9.0,15.0,1.0,1
10.0,30.0,5.0,1
22.0,68.0,40.0,1
13.0,8.0,2.0,1
65.0,87.0,34.0,1
20.0,16.0,16.0,1
60.0,43.0,83.0,1
6.0,11.0,12.0,1
17.0,61.0,44.0,1
42.0,22.0,20.0,1
11.0,4.0,5.0,1
11.0,8.0,6.0,1
48.0,22.0,18.0,1
2.0,7.0,4.0,1
26.0,6.0,2.0,1
149.0,72.0,50.0,1
32.0,13.0,8.0,1
17.0,28.0,52.0,1
9.0,6.0,1.0,1
8.0,9.0,2.0,1
13.0,6.0,3.0,1
18.0,46.0,19.0,1
25.0,16.0,4.0,1
38.0,42.0,9.0,1
40.0,56.0,8.0,1
12.0,6.0,4.0,1
4.0,30.0,26.0,1
7.0,14.0,6.0,1
71.0,110.0,22.0,1
39.0,16.0,11.0,1
5.0,13.0,13.0,1
61.0,41.0,12.0,1
44.0,34.0,29.0,1
89.0,39.0,38.0,1
7.0,11.0,16.0,1
28.0,13.0,17.0,1
15.0,45.0,7.0,1
22.0,10.0,8.0,1
39.0,46.0,6.0,1
11.0,16.0,9.0,1
21.0,5.0,6.0,1
63.0,62.0,42.0,1
18.0,8.0,12.0,1
50.0,23.0,26.0,1
129.0,74.0,47.0,1
18.0,9.0,9.0,1
59.0,62.0,42.0,1
28.0,55.0,11.0,1
23.0,5.0,9.0,1
11.0,7.0,3.0,1
18.0,2.0,7.0,1
34.0,36.0,8.0,1
37.0,9.0,14.0,1
54.0,28.0,18.0,1
15.0,20.0,15.0,1
13.0,42.0,18.0,1
11.0,11.0,3.0,1
34.0,32.0,15.0,1
7.0,84.0,44.0,1
26.0,11.0,4.0,1
8.0,2.0,10.0,1
15.0,5.0,2.0,1
36.0,17.0,8.0,1
21.0,3.0,1.0,1
28.0,77.0,43.0,1
7.0,3.0,10.0,1
16.0,143.0,102.0,1
13.0,7.0,14.0,1
11.0,4.0,1.0,1
10.0,9.0,4.0,1
26.0,48.0,15.0,1
42.0,145.0,58.0,1
47.0,41.0,32.0,1
27.0,21.0,10.0,1
106.0,88.0,78.0,1
30.0,7.0,34.0,1
32.0,23.0,11.0,1
37.0,9.0,24.0,1
2.0,7.0,0.0,1
5.0,5.0,6.0,1
11.0,16.0,4.0,1
54.0,97.0,103.0,1
9.0,55.0,14.0,1
16.0,6.0,4.0,1
0.0,1.0,7.0,1
2.0,2.0,1.0,1
29.0,11.0,10.0,1
33.0,29.0,12.0,1
111.0,108.0,122.0,1
10.0,27.0,22.0,1
41.0,7.0,34.0,1
13.0,9.0,3.0,1
26.0,36.0,40.0,1
26.0,8.0,10.0,1
40.0,33.0,24.0,1
4.0,7.0,19.0,1
29.0,15.0,14.0,1
21.0,6.0,6.0,1
6.0,6.0,2.0,1
6.0,7.0,4.0,1
18.0,40.0,28.0,1
20.0,38.0,6.0,1
55.0,25.0,20.0,1
35.0,29.0,10.0,1
15.0,18.0,5.0,1
71.0,44.0,43.0,1
15.0,8.0,13.0,1
21.0,32.0,23.0,1
31.0,36.0,18.0,1
25.0,40.0,3.0,1
27.0,5.0,1.0,1
11.0,13.0,0.0,1
19.0,87.0,15.0,1
4.0,12.0,28.0,1
27.0,40.0,34.0,1
4.0,1.0,3.0,1
7.0,33.0,19.0,1
8.0,67.0,6.0,1
14.0,47.0,7.0,1
38.0,24.0,37.0,1
15.0,37.0,11.0,1
53.0,7.0,3.0,1
16.0,11.0,7.0,1
19.0,14.0,4.0,1
44.0,18.0,37.0,1
200.0,97.0,141.0,1
20.0,32.0,16.0,1
63.0,80.0,21.0,1
15.0,27.0,7.0,1
4.0,7.0,6.0,1
7.0,3.0,14.0,1
9.0,7.0,9.0,1
20.0,24.0,10.0,1
20.0,4.0,7.0,1
7.0,11.0,4.0,1
68.0,53.0,41.0,1
43.0,39.0,15.0,1
7.0,8.0,9.0,1
37.0,11.0,5.0,1
26.0,53.0,8.0,1
59.0,53.0,13.0,1
42.0,40.0,12.0,1
37.0,63.0,26.0,1
15.0,13.0,13.0,1
37.0,7.0,20.0,1
18.0,7.0,12.0,1
20.0,27.0,35.0,1
143.0,247.0,119.0,1
33.0,74.0,17.0,1
55.0,90.0,71.0,1
43.0,126.0,45.0,1
11.0,35.0,23.0,1
32.0,38.0,32.0,1
13.0,27.0,6.0,1
27.0,125.0,34.0,1
33.0,34.0,28.0,1
19.0,16.0,24.0,1
7.0,55.0,12.0,1
8.0,24.0,4.0,1
33.0,63.0,50.0,1
5.0,12.0,0.0,1
20.0,31.0,10.0,1
24.0,14.0,14.0,1
17.0,1.0,5.0,1
5.0,26.0,3.0,1
26.0,40.0,35.0,1
35.0,33.0,12.0,1
23.0,33.0,14.0,1
26.0,11.0,28.0,1
41.0,18.0,54.0,1
2.0,0.0,2.0,1
15.0,22.0,14.0,1
46.0,96.0,22.0,1
67.0,107.0,53.0,1
51.0,59.0,40.0,1
0.0,16.0,7.0,1
9.0,23.0,8.0,1
34.0,13.0,5.0,1
18.0,48.0,15.0,1
58.0,69.0,63.0,1
13.0,8.0,1.0,1
9.0,46.0,5.0,1
34.0,14.0,5.0,1
59.0,169.0,42.0,1
68.0,39.0,56.0,1
11.0,4.0,3.0,1
16.0,20.0,4.0,1
58.0,23.0,33.0,1
42.0,33.0,18.0,1
6.0,5.0,1.0,1
5.0,2.0,0.0,1
96.0,280.0,148.0,1
44.0,25.0,9.0,1
72.0,20.0,24.0,1
15.0,6.0,6.0,1
25.0,50.0,20.0,1
58.0,66.0,45.0,1
1.0,5.0,1.0,1
32.0,5.0,12.0,1
50.0,8.0,37.0,1
52.0,17.0,16.0,1
33.0,16.0,6.0,1
2.0,5.0,22.0,1
4.0,8.0,0.0,1
28.0,26.0,29.0,1
23.0,24.0,7.0,1
24.0,54.0,20.0,1
28.0,46.0,16.0,1
49.0,3.0,2.0,1
53.0,27.0,16.0,1
2.0,11.0,1.0,1
59.0,39.0,6.0,1
4.0,3.0,5.0,1
23.0,6.0,6.0,1
56.0,113.0,52.0,1
44.0,46.0,10.0,1
15.0,47.0,5.0,1
46.0,65.0,50.0,1
31.0,39.0,10.0,1
10.0,2.0,6.0,1
13.0,18.0,5.0,1
191.0,127.0,123.0,1
18.0,16.0,19.0,1
26.0,182.0,100.0,1
14.0,17.0,11.0,1
10.0,3.0,2.0,1
26.0,30.0,13.0,1
57.0,40.0,35.0,1
18.0,24.0,26.0,1
39.0,20.0,18.0,1
5.0,19.0,24.0,1
11.0,91.0,16.0,1
15.0,5.0,0.0,1
16.0,12.0,9.0,1
8.0,11.0,6.0,1
12.0,33.0,8.0,1
10.0,14.0,7.0,1
16.0,8.0,6.0,1
8.0,7.0,8.0,1
14.0,12.0,15.0,1
21.0,2.0,3.0,1
43.0,23.0,12.0,1
5.0,9.0,2.0,1
69.0,21.0,7.0,1
60.0,51.0,21.0,1
18.0,33.0,23.0,1
22.0,10.0,8.0,1
38.0,20.0,19.0,1
15.0,3.0,2.0,1
58.0,44.0,13.0,1
35.0,4.0,9.0,1
8.0,11.0,1.0,1
10.0,2.0,1.0,1
5.0,12.0,4.0,1
14.0,13.0,5.0,1
34.0,18.0,16.0,1
30.0,55.0,36.0,1
25.0,44.0,3.0,1
