@relation cancer
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute classes {0,1,}
@data
48.0,44.0,9.0,1
77.0,98.0,94.0,1
14.0,10.0,7.0,1
13.0,14.0,3.0,1
34.0,33.0,11.0,1
2.0,2.0,1.0,1
8.0,3.0,0.0,1
6.0,9.0,3.0,1
37.0,22.0,18.0,1
161.0,60.0,37.0,1
137.0,76.0,83.0,1
17.0,52.0,16.0,1
20.0,73.0,23.0,1
16.0,52.0,46.0,1
71.0,28.0,18.0,1
11.0,16.0,5.0,1
7.0,13.0,2.0,1
37.0,41.0,44.0,1
29.0,35.0,10.0,1
5.0,22.0,3.0,1
20.0,23.0,13.0,1
11.0,20.0,7.0,1
72.0,56.0,38.0,1
27.0,40.0,27.0,1
21.0,33.0,11.0,1
22.0,16.0,14.0,1
20.0,13.0,11.0,1
96.0,74.0,108.0,1
18.0,7.0,1.0,1
0.0,8.0,3.0,1
27.0,20.0,8.0,1
7.0,12.0,6.0,1
13.0,13.0,22.0,1
20.0,39.0,18.0,1
20.0,25.0,27.0,1
67.0,32.0,24.0,1
2.0,11.0,1.0,1
88.0,22.0,26.0,1
39.0,42.0,19.0,1
11.0,11.0,9.0,1
0.0,16.0,7.0,1
27.0,23.0,6.0,1
57.0,39.0,15.0,1
16.0,20.0,4.0,1
5.0,7.0,0.0,1
61.0,17.0,44.0,1
22.0,3.0,6.0,1
25.0,35.0,14.0,1
13.0,14.0,4.0,1
8.0,8.0,4.0,1
91.0,76.0,22.0,1
120.0,88.0,93.0,1
12.0,42.0,15.0,1
11.0,23.0,13.0,1
9.0,28.0,11.0,1
38.0,74.0,33.0,1
42.0,27.0,8.0,1
15.0,44.0,25.0,1
75.0,26.0,18.0,1
120.0,20.0,70.0,1
146.0,48.0,180.0,1
4.0,30.0,1.0,1
29.0,33.0,12.0,1
10.0,38.0,14.0,1
21.0,30.0,10.0,1
31.0,10.0,20.0,1
178.0,47.0,66.0,1
29.0,15.0,10.0,1
8.0,14.0,23.0,1
3.0,26.0,16.0,1
17.0,41.0,26.0,1
5.0,4.0,1.0,1
23.0,31.0,17.0,1
4.0,8.0,11.0,1
2.0,8.0,10.0,1
5.0,31.0,12.0,1
25.0,58.0,31.0,1
